"Row","Column","Timepoint","gH2AX.positive...Number.of.Objects","gH2AX.positive...Intensity.gH2AX.Mean...Mean.per.Well","gH2AX.positive...Intensity.gH2AX.Contrast...Mean.per.Well","Nuclei.Selected...Number.of.Objects","Nuclei.Selected...Nucleus.Area..µm.....Mean.per.Well","Nuclei.Selected...Nucleus.Roundness...Mean.per.Well","Nuclei.Selected...Nucleus.Ratio.Width.to.Length...Mean.per.Well","Nuclei.Selected...Intensity.Nuclei.Mean...Mean.per.Well","Nuclei.Selected...Intensity.gH2AX.Mean...Mean.per.Well","Nuclei.Selected...Intensity.gH2AX.Contrast...Mean.per.Well","Nuclei.Selected...gH2AX.positive...Mean.per.Well","Centrosomes...Number.of.Objects","Centrosomes...Relative.Spot.Intensity...Mean.per.Well","Centrosomes...Spot.Contrast...Mean.per.Well","Centrosomes...Spot.Area..µm.....Mean.per.Well","Centrosomes...Spot.Roundness...Mean.per.Well","Centrosomes...Spot.Ratio.Width.to.Length...Mean.per.Well","Number.of.Analyzed.Fields","Time..s.","Compound","Concentration","Cell.Type","Cell.Count","X","Plate"
1,10,0,39,254.573420771,0.231118074864,573,165.174407533,0.920831646371,0.694706293625,9164.09831169,171.896148598,0.0568670034147,0.0680628272251,549,0.347635531889,0.572429919846,2.79967185062,0.93096315357,0.799186230672,5,0,"Stain4",NA,"2774N",NA,NA,"Plate4"
1,11,0,25,239.42382827,0.221344647984,450,166.839383283,0.927168068933,0.711077273337,8677.19825949,167.330532537,0.0468779146037,0.0555555555556,474,0.346892272867,0.570059872805,2.80642376943,0.928635433156,0.802924528602,5,0,"Stain4",NA,"2774N",NA,NA,"Plate4"
1,12,0,17,275.229265577,0.254611063738,258,176.421871857,0.936554989978,0.707103441814,10404.3138394,172.010057485,0.0535941181535,0.0658914728682,234,0.358985946462,0.575536585828,2.85788432902,0.931123267303,0.818153655517,5,0,"Stain4",NA,"2774N",NA,NA,"Plate4"
2,10,0,10,487.759403927,0.354779945843,1283,119.607848498,0.882061498637,0.654371857584,6147.81348254,153.818625634,0.00466663902724,0.00779423226812,656,0.354805777442,0.603434358384,2.91892882337,0.931891858384,0.827530043645,5,0,"Stain4",NA,"A2780-ADR",NA,NA,"Plate4"
2,11,0,4,581.644374596,0.397696780199,1327,114.999065342,0.871080689884,0.658603459518,5319.01527711,152.804567526,0.00368119975438,0.00301431801055,720,0.361507165274,0.608758896772,2.94465595494,0.930506355483,0.832299365983,5,0,"Stain4",NA,"A2780-ADR",NA,NA,"Plate4"
2,12,0,7,403.816210585,0.344752536265,1155,112.14174201,0.88861905253,0.673898919254,6826.29977179,152.283483609,0.00421958614586,0.00606060606061,627,0.356053872013,0.599660834583,2.93637530386,0.930223376379,0.830265508152,5,0,"Stain4",NA,"A2780-ADR",NA,NA,"Plate4"
3,10,0,3,446.749443343,0.348241107187,761,93.1280819957,0.885372442666,0.653867345471,10482.3440914,154.081952089,0.00664758649637,0.00394218134034,780,0.414439825119,0.652519677065,2.95165355039,0.943713185474,0.85454793731,5,0,"Stain4",NA,"A2780-CIS",NA,NA,"Plate4"
3,11,0,1,209.095724004,0.162164458529,639,90.4922444537,0.906140086935,0.682512484343,9336.31871975,152.858713439,0.00602849454461,0.00156494522692,668,0.415189594836,0.651832126961,2.9405610826,0.944934624963,0.852605813182,5,0,"Stain4",NA,"A2780-CIS",NA,NA,"Plate4"
3,12,0,0,NA,NA,167,104.498342823,0.87969695522,0.685446821795,9904.32943671,151.236985373,0.00386891132209,0,160,0.398377166487,0.62460226794,2.90784345863,0.946694480722,0.849034958235,5,0,"Stain4",NA,"A2780-CIS",NA,NA,"Plate4"
4,10,0,8,269.222537634,0.232229144091,287,154.590271966,0.8004138949,0.604233704167,13442.7489878,163.683322922,0.0226486918742,0.0278745644599,390,0.423148766157,0.64396844986,2.89182663331,0.945525298155,0.841350088643,5,0,"Stain4",NA,"CIOV2",NA,NA,"Plate4"
4,11,0,4,458.13756495,0.349237332087,132,160.080154414,0.824558127959,0.613589002103,11361.9630682,168.324457737,0.026546067876,0.030303030303,181,0.427820345251,0.637649034942,2.90871517816,0.946597866742,0.849283528355,5,0,"Stain4",NA,"CIOV2",NA,NA,"Plate4"
4,12,0,2,209.381459509,0.15862840174,74,151.236471332,0.741675429489,0.562056484142,12193.0689292,159.355802322,0.0192865384443,0.027027027027,94,0.451969588779,0.656941913064,2.97071778744,0.949368948447,0.862914221549,5,0,"Stain4",NA,"CIOV2",NA,NA,"Plate4"
5,10,0,3,231.956560723,0.199337358629,188,259.466383576,0.868619644958,0.663304616081,7126.49293101,156.61707937,0.0201012059986,0.0159574468085,159,0.402906523869,0.632745757577,2.92400914097,0.937936627724,0.843180798844,5,0,"Stain4",NA,"CIOV3",NA,NA,"Plate4"
5,11,0,0,NA,NA,128,240.382768882,0.81653783174,0.611569656782,5973.08141706,154.87948497,0.0117156306391,0,106,0.398948011056,0.624158417767,2.90929216132,0.92895575353,0.828313513709,5,0,"Stain4",NA,"CIOV3",NA,NA,"Plate4"
5,12,0,0,NA,NA,66,249.699520434,0.824205587262,0.645537957437,6311.45861459,152.265319322,0.0100830431517,0,49,0.410502861254,0.628880723713,2.92040787064,0.94025544959,0.84431645835,5,0,"Stain4",NA,"CIOV3",NA,NA,"Plate4"
7,10,0,6,414.315925418,0.382246566081,253,184.671443946,0.961734206955,0.74156994916,11880.4099131,164.041031369,0.0310087968591,0.0237154150198,276,0.377696912616,0.612862144176,2.76970080943,0.924575087458,0.791906003291,5,0,"Stain4",NA,"COV362.4",NA,NA,"Plate4"
7,11,0,13,343.573996935,0.332653195875,272,195.085485967,0.95890964383,0.741700410044,11260.6337894,164.878926017,0.0291557735872,0.0477941176471,335,0.365179751972,0.606785319494,2.7558131567,0.92065399819,0.784171720154,5,0,"Stain4",NA,"COV362.4",NA,NA,"Plate4"
7,12,0,20,265.958937883,0.221679375694,197,209.347288668,0.936781591064,0.736145692898,9987.14088343,169.344365548,0.0390927803761,0.10152284264,210,0.379914384772,0.603831710373,2.78914257767,0.932616577057,0.806208082098,5,0,"Stain4",NA,"COV362.4",NA,NA,"Plate4"
8,10,0,0,NA,NA,41,80.2207236691,0.611515995598,0.448887685244,3894.7271005,150.680457735,0.00756966247888,0,13,0.374131517379,0.647569115976,2.88346124954,0.928646880301,0.812091182692,5,0,"Stain4",NA,"COV413A",NA,NA,"Plate4"
8,11,0,0,NA,NA,42,69.0599930801,0.432194074711,0.367827029195,453.248219183,148.337533029,0.0035910939773,0,0,NA,NA,NA,NA,NA,5,0,"Stain4",NA,"COV413A",NA,NA,"Plate4"
8,12,0,0,NA,NA,50,105.612289418,0.511078984052,0.431185770208,2320.67528475,148.423178858,0.00404530602083,0,9,0.358432098547,0.609304195541,2.81249971818,0.934950194964,0.780194587729,5,0,"Stain4",NA,"COV413A",NA,NA,"Plate4"
1,10,0,24,398.585437311,0.322945706964,423,156.871375781,0.908803932504,0.711707458167,9438.32831162,171.329682774,0.0265716183645,0.0567375886525,532,0.390868670397,0.6237853604,2.77057585773,0.925958947137,0.791850003397,5,0,"Stain4",NA,"COV362.4",5000,NA,"Plate5"
1,11,0,26,353.622249855,0.335465419694,651,154.710725544,0.918206611119,0.723563100173,8086.24197857,164.390806593,0.0218313294718,0.0399385560676,835,0.380054792858,0.613273391513,2.73360087939,0.9254497487,0.782494411818,5,0,"Stain4",NA,"COV362.4",5000,NA,"Plate5"
1,12,0,22,245.067347616,0.11487545763,44,54.0488183992,0.957110229728,0.816586016399,16820.581225,225.217757789,0.0722727971025,0.5,21,0.373222296154,0.585287826055,3.00678323037,0.936379234808,0.846982528349,5,0,"Stain4",NA,"COV362.4",5000,NA,"Plate5"
3,10,0,39,226.373726403,0.169674976824,249,111.944559612,0.900532215145,0.705122064086,14664.6940078,177.99439805,0.0520127492358,0.156626506024,458,0.430972795987,0.702824615651,2.93674377749,0.949732783089,0.848659057102,5,0,"Stain4",NA,"COV644 NL",10000,NA,"Plate5"
3,11,0,26,592.730350033,0.31121017211,242,104.29589705,0.877154055599,0.700169269712,13023.5851759,212.813259915,0.0447717801609,0.107438016529,450,0.435782521053,0.706207858018,2.9332959909,0.950910138736,0.846045095211,5,0,"Stain4",NA,"COV644 NL",10000,NA,"Plate5"
3,12,0,25,234.733549845,0.0954837464939,72,60.2396054389,0.947244724405,0.79055879917,18676.4533534,221.035688305,0.0624706064066,0.347222222222,15,0.392132293902,0.66326768459,2.76932665024,0.928216398086,0.802428008089,5,0,"Stain4",NA,"COV644 NL",10000,NA,"Plate5"
4,10,0,5,216.765218468,0.153128148946,909,148.134651136,0.927598890015,0.729234359541,6906.57604615,155.067407114,0.0111658408476,0.00550055005501,747,0.428988348827,0.671063409424,2.99634740391,0.947621168532,0.866659854547,5,0,"Stain4",NA,"IGROV-1",4000,NA,"Plate5"
4,11,0,4,554.416760679,0.284455019157,622,160.22649565,0.925265321274,0.727071609107,8710.07404504,158.147125571,0.0115961729079,0.0064308681672,574,0.420664887246,0.669521118246,2.96968390666,0.943861727581,0.858229680451,5,0,"Stain4",NA,"IGROV-1",4000,NA,"Plate5"
4,12,0,17,230.392893095,0.0892698528354,19,58.3020084726,0.968926371737,0.786207313435,19539.1782499,230.357326146,0.0841076296916,0.894736842105,0,NA,NA,NA,NA,NA,5,0,"Stain4",NA,"IGROV-1",4000,NA,"Plate5"
5,10,0,41,463.511848809,0.33688889472,955,143.422139577,0.878189124221,0.678959717652,5180.01487209,174.681584925,0.0322936262492,0.0429319371728,426,0.366165479662,0.655343462601,2.85435076359,0.928885763231,0.803206231306,5,0,"Stain4",NA,"PEO1",15000,NA,"Plate5"
5,11,0,27,411.454817833,0.315250578739,711,149.871411952,0.923705771254,0.711346980003,5440.90833612,170.285706488,0.0302077118458,0.0379746835443,414,0.365007434253,0.657462170027,2.88044845303,0.932397534069,0.812844033237,5,0,"Stain4",NA,"PEO1",15000,NA,"Plate5"
5,12,0,1,401.650364964,0.352786475941,15,50.9490095858,0.80138799433,0.611135901393,16334.2457629,181.21027962,0.0350715808413,0.0666666666667,5,0.400618396904,0.707380633711,2.97035036157,0.929252857031,0.851502557263,5,0,"Stain4",NA,"PEO1",15000,NA,"Plate5"
